__time,/forward_effort_controller/commands/data.0,/forward_effort_controller/commands/data.1,/forward_effort_controller/commands/data.2,/forward_effort_controller/commands/layout/data_offset,/joint_states/header/stamp,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/joint_states/joint2/effort,/joint_states/joint2/position,/joint_states/joint2/velocity,/joint_states/joint3/effort,/joint_states/joint3/position,/joint_states/joint3/velocity,/reference_joint/commands/data.0,/reference_joint/commands/data.1,/reference_joint/commands/data.2,/reference_joint/commands/layout/data_offset
1670041467.190055,,,,,384.647000,0.004303,1.199975,-0.000123,-0.000682,2.499955,0.000128,9.679034,1.388642,0.007193,,,,
1670041467.190171,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.190689,0.035731,-0.046126,12.114965,0.000000,,,,,,,,,,,,,,
1670041467.192840,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,
1670041467.199663,,,,,384.657000,0.005802,1.199974,-0.000073,-0.002779,2.499956,0.000081,9.733554,1.388711,0.006480,,,,
1670041467.199716,,,,,384.657000,0.005802,1.199974,-0.000073,-0.002779,2.499956,0.000081,9.733554,1.388711,0.006480,,,,
1670041467.199893,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.199911,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.209999,,,,,384.667000,0.005166,1.199974,-0.000028,-0.002224,2.499957,0.000036,9.770462,1.388774,0.006138,,,,
1670041467.210093,,,,,384.667000,0.005166,1.199974,-0.000028,-0.002224,2.499957,0.000036,9.770462,1.388774,0.006138,,,,
1670041467.210473,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.210518,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.219695,,,,,384.677000,0.003739,1.199974,0.000001,-0.000638,2.499957,0.000007,9.789237,1.388834,0.005984,,,,
1670041467.219775,,,,,384.677000,0.003739,1.199974,0.000001,-0.000638,2.499957,0.000007,9.789237,1.388834,0.005984,,,,
1670041467.220090,-0.014124,0.024437,10.156820,0.000000,,,,,,,,,,,,,,
1670041467.220130,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.220156,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.221003,-0.015402,0.025055,9.752012,0.000000,,,,,,,,,,,,,,
1670041467.229741,,,,,384.687000,0.002413,1.199974,0.000013,0.000896,2.499957,-0.000007,9.795553,1.388894,0.005895,,,,
1670041467.229791,,,,,384.687000,0.002413,1.199974,0.000013,0.000896,2.499957,-0.000007,9.795553,1.388894,0.005895,,,,
1670041467.229947,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.229964,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.239659,,,,,384.697000,0.001555,1.199974,0.000015,0.001919,2.499957,-0.000010,9.795469,1.388952,0.005808,,,,
1670041467.239729,,,,,384.697000,0.001555,1.199974,0.000015,0.001919,2.499957,-0.000010,9.795469,1.388952,0.005808,,,,
1670041467.239948,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.239977,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.249838,,,,,384.707000,0.001173,1.199974,0.000012,0.002401,2.499957,-0.000007,9.793222,1.389010,0.005699,,,,
1670041467.249939,,,,,384.707000,0.001173,1.199974,0.000012,0.002401,2.499957,-0.000007,9.793222,1.389010,0.005699,,,,
1670041467.250130,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.250176,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.259732,,,,,384.717000,0.001114,1.199974,0.000007,0.002504,2.499957,-0.000003,9.791026,1.389066,0.005570,,,,
1670041467.259810,,,,,384.717000,0.001114,1.199974,0.000007,0.002504,2.499957,-0.000003,9.791026,1.389066,0.005570,,,,
1670041467.260071,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.260106,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.270542,,,,,384.727000,0.001211,1.199974,0.000003,0.002418,2.499957,-0.000000,9.789653,1.389121,0.005428,,,,
1670041467.270673,,,,,384.727000,0.001211,1.199974,0.000003,0.002418,2.499957,-0.000000,9.789653,1.389121,0.005428,,,,
1670041467.271538,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.271601,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.280736,,,,,384.737000,0.001342,1.199974,0.000001,0.002282,2.499957,0.000002,9.789113,1.389174,0.005282,,,,
1670041467.280820,,,,,384.737000,0.001342,1.199974,0.000001,0.002282,2.499957,0.000002,9.789113,1.389174,0.005282,,,,
1670041467.281124,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
1670041467.281165,,,,,,,,,,,,,,,1.200000,2.500000,1.500000,0.000000
