__time,/forward_effort_controller/commands/data.0,/forward_effort_controller/commands/data.1,/forward_effort_controller/commands/data.2,/forward_effort_controller/commands/layout/data_offset,/joint_states/header/stamp,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/joint_states/joint2/effort,/joint_states/joint2/position,/joint_states/joint2/velocity,/joint_states/joint3/effort,/joint_states/joint3/position,/joint_states/joint3/velocity,/reference_joint/commands/data.0,/reference_joint/commands/data.1,/reference_joint/commands/data.2,/reference_joint/commands/layout/data_offset
1670038909.851025,,,,,2216.864000,-0.012464,2.999983,0.000050,0.034487,1.000000,-0.000113,9.795463,0.888952,0.005821,,,,
1670038909.851068,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.860786,,,,,2216.874000,-0.013962,2.999981,-0.000439,0.037952,1.000005,0.000943,9.792843,0.889009,0.005709,,,,
1670038909.860834,,,,,2216.874000,-0.013962,2.999981,-0.000439,0.037952,1.000005,0.000943,9.792843,0.889009,0.005709,,,,
1670038909.861008,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.861030,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.870442,,,,,2216.884000,-0.000501,2.999976,-0.000489,0.003957,1.000015,0.001050,9.790603,0.889066,0.005575,,,,
1670038909.870502,,,,,2216.884000,-0.000501,2.999976,-0.000489,0.003957,1.000015,0.001050,9.790603,0.889066,0.005575,,,,
1670038909.870736,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.870755,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.880395,,,,,2216.894000,0.014325,2.999974,-0.000066,-0.033237,1.000020,0.000139,9.789344,0.889121,0.005430,,,,
1670038909.880490,,,,,2216.894000,0.014325,2.999974,-0.000066,-0.033237,1.000020,0.000139,9.789344,0.889121,0.005430,,,,
1670038909.880989,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.881049,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.890489,,,,,2216.904000,0.016096,2.999976,0.000404,-0.037499,1.000016,-0.000872,9.788950,0.889174,0.005282,,,,
1670038909.890558,,,,,2216.904000,0.016096,2.999976,0.000404,-0.037499,1.000016,-0.000872,9.788950,0.889174,0.005282,,,,
1670038909.891008,0.016503,-0.038340,9.774182,0.000000,,,,,,,,,,,,,,
1670038909.891049,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.891064,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.891791,0.017618,-0.040891,9.791448,0.000000,,,,,,,,,,,,,,
1670038909.900592,,,,,2216.914000,0.003557,2.999980,0.000463,-0.005880,1.000007,-0.001001,9.789087,0.889226,0.005136,,,,
1670038909.900687,,,,,2216.914000,0.003557,2.999980,0.000463,-0.005880,1.000007,-0.001001,9.789087,0.889226,0.005136,,,,
1670038909.901029,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.901073,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.910859,,,,,2216.924000,-0.010642,2.999982,0.000070,0.029724,1.000001,-0.000154,9.789454,0.889277,0.004996,,,,
1670038909.910921,,,,,2216.924000,-0.010642,2.999982,0.000070,0.029724,1.000001,-0.000154,9.789454,0.889277,0.004996,,,,
1670038909.911413,0.003081,-0.004355,9.796407,0.000000,,,,,,,,,,,,,,
1670038909.911446,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.911459,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.911816,-0.012464,0.034487,9.795463,0.000000,,,,,,,,,,,,,,
1670038909.921215,,,,,2216.934000,-0.012694,2.999981,-0.000379,0.034695,1.000005,0.000814,9.789865,0.889326,0.004860,,,,
1670038909.921255,,,,,2216.934000,-0.012694,2.999981,-0.000379,0.034695,1.000005,0.000814,9.789865,0.889326,0.004860,,,,
1670038909.921480,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.921496,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.931179,,,,,2216.944000,-0.001047,2.999976,-0.000447,0.005313,1.000014,0.000961,9.790241,0.889374,0.004728,,,,
1670038909.931232,,,,,2216.944000,-0.001047,2.999976,-0.000447,0.005313,1.000014,0.000961,9.790241,0.889374,0.004728,,,,
1670038909.931462,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.931474,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.941574,,,,,2216.954000,0.012532,2.999974,-0.000082,-0.028747,1.000019,0.000174,9.790568,0.889420,0.004601,,,,
1670038909.941654,,,,,2216.954000,0.012532,2.999974,-0.000082,-0.028747,1.000019,0.000174,9.790568,0.889420,0.004601,,,,
1670038909.942155,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.942196,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.951863,,,,,2216.964000,0.014825,2.999976,0.000348,-0.034341,1.000016,-0.000751,9.790855,0.889466,0.004478,,,,
1670038909.951985,,,,,2216.964000,0.014825,2.999976,0.000348,-0.034341,1.000016,-0.000751,9.790855,0.889466,0.004478,,,,
1670038909.952548,0.014325,-0.033237,9.789344,0.000000,,,,,,,,,,,,,,
1670038909.952693,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.952724,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.962051,,,,,2216.974000,0.004013,2.999979,0.000424,-0.007070,1.000008,-0.000914,9.791111,0.889510,0.004358,,,,
1670038909.962145,,,,,2216.974000,0.004013,2.999979,0.000424,-0.007070,1.000008,-0.000914,9.791111,0.889510,0.004358,,,,
1670038909.962650,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.962723,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.972298,,,,,2216.984000,-0.008968,2.999982,0.000085,0.025485,1.000003,-0.000184,9.791345,0.889553,0.004242,,,,
1670038909.972384,,,,,2216.984000,-0.008968,2.999982,0.000085,0.025485,1.000003,-0.000184,9.791345,0.889553,0.004242,,,,
1670038909.972550,0.003557,-0.005880,9.789087,0.000000,,,,,,,,,,,,,,
1670038909.972581,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.972605,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.973263,-0.010642,0.029724,9.789454,0.000000,,,,,,,,,,,,,,
1670038909.981956,,,,,2216.994000,-0.011475,2.999980,-0.000326,0.031614,1.000006,0.000700,9.791566,0.889595,0.004128,,,,
1670038909.982020,,,,,2216.994000,-0.011475,2.999980,-0.000326,0.031614,1.000006,0.000700,9.791566,0.889595,0.004128,,,,
1670038909.982306,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.982349,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.992110,,,,,2217.004000,-0.001455,2.999977,-0.000408,0.006326,1.000014,0.000877,9.791782,0.889635,0.004017,,,,
1670038909.992211,,,,,2217.004000,-0.001455,2.999977,-0.000408,0.006326,1.000014,0.000877,9.791782,0.889635,0.004017,,,,
1670038909.992335,-0.012694,0.034695,9.789865,0.000000,,,,,,,,,,,,,,
1670038909.992360,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.992373,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038909.992917,-0.001047,0.005313,9.790241,0.000000,,,,,,,,,,,,,,
1670038910.001769,,,,,2217.014000,0.010940,2.999974,-0.000093,-0.024773,1.000019,0.000200,9.791999,0.889675,0.003909,,,,
1670038910.001876,,,,,2217.014000,0.010940,2.999974,-0.000093,-0.024773,1.000019,0.000200,9.791999,0.889675,0.003909,,,,
1670038910.002275,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.002327,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.012162,,,,,2217.024000,0.013623,2.999976,0.000299,-0.031364,1.000016,-0.000644,9.792217,0.889713,0.003804,,,,
1670038910.012230,,,,,2217.024000,0.013623,2.999976,0.000299,-0.031364,1.000016,-0.000644,9.792217,0.889713,0.003804,,,,
1670038910.012565,0.012532,-0.028747,9.790568,0.000000,,,,,,,,,,,,,,
1670038910.012604,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.012618,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.012949,0.014825,-0.034341,9.790855,0.000000,,,,,,,,,,,,,,
1670038910.022377,,,,,2217.034000,0.004341,2.999979,0.000386,-0.007942,1.000008,-0.000833,9.792431,0.889751,0.003702,,,,
1670038910.022422,,,,,2217.034000,0.004341,2.999979,0.000386,-0.007942,1.000008,-0.000833,9.792431,0.889751,0.003702,,,,
1670038910.022478,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.022488,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.032517,,,,,2217.044000,-0.007492,2.999981,0.000096,0.021742,1.000004,-0.000207,9.792635,0.889787,0.003603,,,,
1670038910.032580,,,,,2217.044000,-0.007492,2.999981,0.000096,0.021742,1.000004,-0.000207,9.792635,0.889787,0.003603,,,,
1670038910.032873,0.004013,-0.007070,9.791111,0.000000,,,,,,,,,,,,,,
1670038910.032901,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.032910,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.033115,-0.008968,0.025485,9.791345,0.000000,,,,,,,,,,,,,,
1670038910.042700,,,,,2217.054000,-0.010329,2.999980,-0.000278,0.028722,1.000006,0.000599,9.792828,0.889823,0.003507,,,,
1670038910.042807,,,,,2217.054000,-0.010329,2.999980,-0.000278,0.028722,1.000006,0.000599,9.792828,0.889823,0.003507,,,,
1670038910.043194,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.043266,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.052568,,,,,2217.064000,-0.001746,2.999977,-0.000371,0.007051,1.000013,0.000798,9.793016,0.889857,0.003412,,,,
1670038910.052654,,,,,2217.064000,-0.001746,2.999977,-0.000371,0.007051,1.000013,0.000798,9.793016,0.889857,0.003412,,,,
1670038910.052846,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.052924,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.062657,,,,,2217.074000,0.009538,2.999975,-0.000102,-0.021267,1.000018,0.000219,9.793202,0.889891,0.003321,,,,
1670038910.062760,,,,,2217.074000,0.009538,2.999975,-0.000102,-0.021267,1.000018,0.000219,9.793202,0.889891,0.003321,,,,
1670038910.063095,-0.001455,0.006326,9.791782,0.000000,,,,,,,,,,,,,,
1670038910.063150,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.063168,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.063617,0.010940,-0.024773,9.791999,0.000000,,,,,,,,,,,,,,
1670038910.073171,,,,,2217.084000,0.012499,2.999976,0.000255,-0.028574,1.000016,-0.000550,9.793389,0.889924,0.003232,,,,
1670038910.073233,,,,,2217.084000,0.012499,2.999976,0.000255,-0.028574,1.000016,-0.000550,9.793389,0.889924,0.003232,,,,
1670038910.073656,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.073693,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.082843,,,,,2217.094000,0.004567,2.999979,0.000351,-0.008548,1.000009,-0.000757,9.793571,0.889956,0.003145,,,,
1670038910.082880,,,,,2217.094000,0.004567,2.999979,0.000351,-0.008548,1.000009,-0.000757,9.793571,0.889956,0.003145,,,,
1670038910.083100,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.083120,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.092556,,,,,2217.104000,-0.006191,2.999981,0.000103,0.018444,1.000005,-0.000222,9.793744,0.889987,0.003061,,,,
1670038910.092601,,,,,2217.104000,-0.006191,2.999981,0.000103,0.018444,1.000005,-0.000222,9.793744,0.889987,0.003061,,,,
1670038910.092763,0.004341,-0.007942,9.792431,0.000000,,,,,,,,,,,,,,
1670038910.092787,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.092794,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.094094,-0.007492,0.021742,9.792635,0.000000,,,,,,,,,,,,,,
1670038910.102925,,,,,2217.114000,-0.009257,2.999980,-0.000237,0.026019,1.000006,0.000510,9.793908,0.890017,0.002979,,,,
1670038910.102977,,,,,2217.114000,-0.009257,2.999980,-0.000237,0.026019,1.000006,0.000510,9.793908,0.890017,0.002979,,,,
1670038910.103285,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.103315,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.113431,,,,,2217.124000,-0.001940,2.999977,-0.000336,0.007535,1.000013,0.000724,9.794067,0.890046,0.002899,,,,
1670038910.113523,,,,,2217.124000,-0.001940,2.999977,-0.000336,0.007535,1.000013,0.000724,9.794067,0.890046,0.002899,,,,
1670038910.113797,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.113847,,,,,,,,,,,,,,,3.000000,1.000000,1.000000,0.000000
1670038910.113940,-0.010329,0.028722,9.792828,0.000000,,,,,,,,,,,,,,
1670038910.123793,,,,,2217.134000,0.008304,2.999975,-0.000107,-0.018181,1.000017,0.000231,9.794225,0.890075,0.002821,,,,
1670038910.123862,,,,,2217.134000,0.008304,2.999975,-0.000107,-0.018181,1.000017,0.000231,9.794225,0.890075,0.002821,,,,
