__time,/forward_effort_controller/commands/data.0,/forward_effort_controller/commands/data.1,/forward_effort_controller/commands/data.2,/forward_effort_controller/commands/layout/data_offset,/joint_states/header/stamp,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/joint_states/joint2/effort,/joint_states/joint2/position,/joint_states/joint2/velocity,/joint_states/joint3/effort,/joint_states/joint3/position,/joint_states/joint3/velocity,/reference_joint/commands/data.0,/reference_joint/commands/data.1,/reference_joint/commands/data.2,/reference_joint/commands/layout/data_offset
1670040246.099589,,,,,3548.914000,-0.036943,1.999820,0.001177,-0.039830,1.499938,0.000531,50.000000,2.100007,-0.001696,,,,
1670040246.099658,,,,,3548.914000,-0.036943,1.999820,0.001177,-0.039830,1.499938,0.000531,50.000000,2.100007,-0.001696,,,,
1670040246.099901,0.061816,-0.088004,81.066669,0.000000,,,,,,,,,,,,,,
1670040246.099926,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.099942,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.100591,-0.113895,0.045536,81.070414,0.000000,,,,,,,,,,,,,,
1670040246.109732,,,,,3548.924000,0.708330,1.999864,0.013745,-1.148881,1.499832,-0.029397,50.000000,2.100062,-0.013817,,,,
1670040246.109791,,,,,3548.924000,0.708330,1.999864,0.013745,-1.148881,1.499832,-0.029397,50.000000,2.100062,-0.013817,,,,
1670040246.109955,-0.113895,0.045536,81.070414,0.000000,,,,,,,,,,,,,,
1670040246.109971,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.109998,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.110776,0.022334,0.038578,81.070558,0.000000,,,,,,,,,,,,,,
1670040246.119544,,,,,3548.934000,-0.024535,1.999994,0.008538,-0.015464,1.499603,-0.017385,50.000000,2.100006,-0.003515,,,,
1670040246.119586,,,,,3548.934000,-0.024535,1.999994,0.008538,-0.015464,1.499603,-0.017385,50.000000,2.100006,-0.003515,,,,
1670040246.119609,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.119619,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.129300,,,,,3548.944000,-0.404195,2.000008,0.005150,1.037331,1.499515,-0.017130,50.000000,2.100039,-0.007676,,,,
1670040246.129370,,,,,3548.944000,-0.404195,2.000008,0.005150,1.037331,1.499515,-0.017130,50.000000,2.100039,-0.007676,,,,
1670040246.129594,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.129625,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
